id,entri,induk_entri,jenis,kategori_saran,saran
50142,bercebar-cebur,cebur,turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
50227,bercekakak-cekikik,cekakak,turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
51020,bercoreng-moreng,coreng,turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
51202,bercura-bura,cura (2),turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
51492,berdahanam,dahan (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
52542,berderetderet,deret (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
70818,berduri,menduri,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
84197,berkesesuaian,suai (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
64143,berketak-ketik,ketak (1),turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
64228,berketap-ketip,ketip (3),turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
64144,berketuk-ketak,ketak (1),turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
68502,berliang-liuk,liang (2),turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
70668,bermaulid Rasul,maulid,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
42188,berpelajaran,ajar,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
75286,berpemerintahan,perintah,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
85895,berpenampilan,tampil,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
86733,berpenaruhan,taruh,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
88159,berpenerangan,terang,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
79876,berpenyakitan,sakit,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
88508,berseketiduran,tidur,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
81429,berselang-tenggang,selang (2),turunan,reduplikasi-ber,Tambahkan tagar ber + R (atau ber + R-* sesuai bentuk).
49257,bersibunuh,bunuh,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
49736,bersicakar,cakar (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
50445,bersicengang,cengang,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
50490,bersicepat,cepat,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
51511,bersidahulu,dahulu,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
60367,bersijengket,jengket,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
62793,bersikejar,kejar,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
63730,bersikeras,keras (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
65770,bersikukuh,kukuh,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
66547,bersilaju,laju (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
69418,bersilutu,lutu (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
69537,bersimaharajalela,maharajalela,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
78903,bersirobok,robok (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
85105,bersitabik,tabik (1),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
87167,bersitegang,tegang,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
87200,bersiteguh,teguh,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
89875,bersitumpu,tumpu,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
90005,bersitungkin,tungkin,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
82838,bersuling,seruling,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
87524,bertelengkup,telungkup,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
87924,bertenggang rasa,tengang rasa,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
82640,beserban,serban,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
82642,beserbankan,serban,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
82662,beserdam,serdam,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
82663,beserdawa,serdawa,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
82664,beserdih,serdih,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
82800,beserta,serta (2),turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
88220,beterbangan,terbang (1),turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
88269,beterjunan,terjun,turunan,prefiks-ber,Tambahkan tagar ber + an (atau ber-R-an bila reduplikasi); cek alomorf ber-/be-.
88282,beterkup,terkup,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
88310,beternak,ternak,turunan,prefiks-ber,Tambahkan tagar ber; cek alomorf ber-/be-.
45667,bolang-baling,baling (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
49251,bunuhbunuhan,bunuh,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
49762,calar-balar,calar,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
49803,campang-camping,camping,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50049,carut-marut,carut (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50054,carut-marut,carut (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50138,cebar-cebur,cebur,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
49703,cecairan,cair,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
50346,celas-celus,celus,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
70834,cengking-mengking,mengking,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50646,ceruk-meruk,ceruk,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50774,cingak-cinguk,cingak,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50815,cirit-birit,cirit,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50951,condong-mondong,condong,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50957,congak-cangik,congak (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51012,coreng-moreng,coreng,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51176,cungap-cangip,cungap,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51491,dahanam,dahan (2),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
51505,dahulu-mendahului,dahulu,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51552,dalaman,dalam-dalam,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
51711,dansa-dansi,dansa,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51854,datang-mendatangi,datang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
52053,dayung-mayung,dayung,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
52061,debak-debuk,debak,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51950,dedaunan,daun,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
52502,derak-derik,derak,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
46607,di bawah,bawah,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
68577,dua,lidah (1),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
53999,erang-erot,erang (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
54471,galang-gulung,galang (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56154,gegoakan,goak (1),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
56615,geguritan,gurit,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
55366,gemeletuk,geletuk,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
55694,genjrang-genjreng,genjrang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
55740,gerabak-gerubuk,gerabak (3),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
55870,geriak-geriuk,geriak (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
55888,gerit-gerit putih,gerit (2),turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
55931,geruh-gerah,geruh (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56018,getak-getuk,getuk (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56020,gial-giul,gial (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56087,gilang-gemilang,gilang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56088,gilap-gemilap,gilap,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56248,gonjang-ganjing,gonjang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56249,gonjlang-ganjling,gonjlang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56353,gual-gail,gual (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56354,gual-gail,gual (3),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56589,gunung-ganang,gunung,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56590,gunung-gemunung,gunung,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
56964,hancur-menghancurkan,hancur,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
57701,hina-menghinakan,hina,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
57863,hormat-menghormati,hormat,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
58267,ibunda,ibu,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
58835,inca-binca,inca,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
59082,instruksional,instruksi,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
59540,jejaka,jaka,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
59763,jejampi,jampi,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
59775,jejamu,jamu (1),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
59991,jejaring,jaring,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
60126,jejawi,jawi (3),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
60314,jejenang,jenang (2),turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
59974,jemari,jari,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
59992,jemaring,jaring,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
60324,jendal-jendul,jendal,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
60338,jenggar-jenggur,jenggar,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
60353,jengkang-jengkot,jengkang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
60420,jerah-jerih,jerah (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
60666,jongkang-jangking,jongkang (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
59862,jongkar-jangkir,jangkir (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
59872,jongkat-jangkit,jangkit (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
60872,jungkat-jungkit,jungkat,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
62072,karut-marut,karut,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
62455,kawin-mawin,kawin (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
62582,kebat-kebit,kebat (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
46924,ke belakang,belakang,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
77439,keberagaman,ragam (1),turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
57391,keberhati-hatian,hati,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
67358,keberlarut-larutan,larut (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
50467,kecentang-perenangan,centang perenang,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
62654,kecil-mengecilkan,kecil,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
62666,kecomak-kecimik,kecimik,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
51557,kedalaman,dalam-dalam,turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
62726,kedekak-kedekik,kedekik (3),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
52458,ke depan,depan,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
56587,kegunungapian,gunung,turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
68603,kelihatannya,lihat,turunan,manual-lain,Tinjau manual kasus tidak beraturan (serapan/arkais/idiom/zero-derivation).
63294,kemak-kemik,kemik (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
74710,kemelesetan,peleset,turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
86707,kemenarikan,tarik,turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
63306,kempas-kempis,kempis (1),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
71691,ke muka,muka,turunan,frasa-spasi,"Tinjau manual: frasa/spasi. Verifikasi apakah tetap jenis turunan; jika ya, tetapkan tagar afiks dominan secara manual."
63390,kencang-kencung,kencang (2),turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
63397,kencing-mengencingi,kencing,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
63455,kentungan,kentung-kentung,turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
63470,kenyat-kenyit,kenyat,turunan,reduplikasi-lain,"Tinjau manual: reduplikasi variasi bunyi/idiomatik. Pilih antara R, R-an, R-nya, atau gabungan dengan prefiks."
74788,kepemelukan,peluk (1),turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
75841,kepemimpinan,pimpin,turunan,konfiks-ke-an,Tambahkan tagar ke-an (konfiks).
