etim_id,indeks,etim_homonim,entri_homonim_saat_ini,bahasa,arti_asal,rekomendasi_entri_id,rekomendasi_entri,catatan
"44","abonemen","1","","Belanda","hal berlangganan (subscription)","93","abonemen","skor makna 0.250 → entri_id=93"
"45","aborsi","1","","Latin","pengguguran kandungan (miscarriage)","98","aborsi","skor makna 0.286 → entri_id=98"
"46","abortiva","1","","Latin","obat-obatan yang dapat menggugurkan kandungan (abortifacient","100","abortiva","skor makna 0.750 → entri_id=100"
"47","abortus","1","","Belanda","fetus dengan berat kurang dari 500 g pada saat dikeluarkan d","101","abortus","skor makna 0.556 → entri_id=101"
"48","abrak","1","","Sanskerta","bahan galian yang jernih seperti kaca; mika (mica)","104","abrak","skor makna 0.875 → entri_id=104"
"49","abrakadabra","1","","Belanda","ucapan pemain sulap dalam pertunjukan sulap (abracadabra (a ","105","abrakadabra","skor makna 0.500 → entri_id=105"
"50","abrar","1","","Arab","saleh (banyak berbuat kebajikan) (dutiful, pious)","107","abrar","skor makna 0.667 → entri_id=107"
"51","abras","1","","Arab","mengidap penyakit kusta (leprous)","108","abras","skor makna 0.750 → entri_id=108"
"52","abrasi","1","","Belanda","pengikisan batuan oleh air, es, atau angin yang mengandung d","109","abrasi","skor makna 0.414 → entri_id=109"
"53","abreaksi","1","","Inggris","pencetusan emosi dengan mengingat kembali trauma psikis (abr","111","abreaksi","skor makna 0.636 → entri_id=111"
"54","abreviasi","1","","Belanda","pemendekan bentuk sebagai pengganti bentuk yang lengkap (abb","113","abreviasi","skor makna 0.400 → entri_id=113"
"55","abrikos","1","","Belanda","buah yang berbentuk bulat berwarna oranye, berdaging tebal d","114","abrikos","skor makna 0.650 → entri_id=114"
"56","abrupsi","1","","Inggris","keadaan terlepas (abruption)","120","abrupsi","skor makna 0.400 → entri_id=120"
"57","absah","1","","Arab","sah (valid (doubtful entry))","121","absah","skor makna 0.250 → entri_id=121"
"58","absen","1","","Belanda","tidak masuk (sekolah, kerja, dsb.); tidak hadir (absent)","122","absen","skor makna 0.667 → entri_id=122"
"59","absensi","1","","Belanda","ketidakhadiran (absence)","123","absensi","skor makna 0.200 → entri_id=123"
"61","absenteisme","1","","Belanda","ketidakhadiran yang terus-menerus (dalam perusahaan, sekolah","126","absenteisme","skor makna 0.296 → entri_id=126"
"62","abses","1","","Belanda","radang jaringan tubuh yang memungkinkan timbulnya rongga tem","127","abses","skor makna 0.714 → entri_id=127"
"63","absis","1","","Belanda","jarak titik terhadap sumbu tegak (abscissa)","128","absis","skor makna 0.556 → entri_id=128"
"64","absolusi","1","","Belanda","pengampunan melalui upacara keagamaan atas kesalahan atau do","130","absolusi","skor makna 0.818 → entri_id=130"
"65","absolut","1","","Belanda","tidak terbatas; mutlak (absolute)","131","absolut","skor makna 0.214 → entri_id=131"
"66","absolutisme","1","","Belanda","bentuk pemerintahan tanpa undang-undang dasar; bentuk pemeri","132","absolutisme","skor makna 0.789 → entri_id=132"
"67","absonan","1","","Inggris","tidak sesuai; bertentangan (absonant, discordant)","133","absonan","skor makna 0.429 → entri_id=133"
"68","absorben","1","","Belanda","zat yang menyerap materi atau tenaga (absorbent)","136","absorben","skor makna 0.316 → entri_id=136"
"70","absorpsi","1","","Belanda","penyerapan (absorption)","137","absorpsi","skor rendah (0.048) — review manual"
"71","absorpsiometer","1","","Inggris","alat untuk mengukur absorpsi gas oleh cairan (absorptiometer","138","absorpsiometer","skor makna 0.875 → entri_id=138"
"72","absorptif","1","","Inggris","bersifat menyerap (absorptive)","140","absorptif","skor makna 0.400 → entri_id=140"
"73","abstain","1","","Inggris","tidak memberikan suara (dalam pemungutan suara); tidak menen","142","abstain","skor makna 0.389 → entri_id=142"
"74","abstensi","1","","Inggris","tindakan atau praktik tidak memberikan suara (abstention)","143","abstensi","skor makna 0.667 → entri_id=143"
"75","abstinensi","1","","Belanda","pemantangan terhadap makanan, minuman, atau perilaku seksual","144","abstinensi","skor makna 0.714 → entri_id=144"
"78","abstraksi","1","","Belanda","proses atau perbuatan memisahkan (abstraction)","147","abstraksi","skor makna 0.182 → entri_id=147"
"79","absurd","1","","Belanda","tidak masuk akal; mustahil (absurd)","148","absurd","skor makna 0.571 → entri_id=148"
"80","absurditas","1","","Belanda","keabsurdan (absurdity)","150","absurditas","skor makna 0.167 → entri_id=150"
"81","abtar","1","","Arab","kudung; kutung (curtailed)","151","abtar","skor makna 0.333 → entri_id=151"
"83","abulhayat","1","","Arab","bapak kehidupan (father of life)","165","abulhayat","skor makna 0.400 → entri_id=165"
"84","abyad","1","","Arab","putih (white)","172","abyad","skor makna 0.500 → entri_id=172"
"85","acar","1","","Persia","makanan yang terbuat dari buah-buahan atau sayuran, diberi r","187","acar","skor makna 0.923 → entri_id=187"
"87","acaram","1","","Tamil","cincin (wedding ring)","190","acaram","skor makna 0.083 → entri_id=190"
"89","acik","1","","Amoy","kata sapaan kepada perempuan yang lebih tua, seperti kakak p","204","acik","skor makna 1.000 → entri_id=204"
"90","adab","1","","Arab","kehalusan dan kebaikan budi pekerti; kesopanan; akhlak (good","215","adab","skor makna 0.778 → entri_id=215"
"91","adab","2","","Arab","kehalusan dan kebaikan budi pekerti; kesopanan; akhlak (lite","215","adab","skor makna 0.636 → entri_id=215"
"92","adad","1","","Arab","bilangan; jumlah (numbers)","217","adad","skor makna 0.667 → entri_id=217"
"93","adagio","1","","Italia","tempo yang lambat dan penuh ekspresi (adagio)","218","adagio","skor makna 0.857 → entri_id=218"
"94","adagium","1","","Belanda","pepatah; peribahasa (adage)","219","adagium","skor makna 0.333 → entri_id=219"
"95","adakala","1","","","kadang-kadang; sekali-sekali; sekali waktu (sometimes)","221","adakala","skor makna 0.375 → entri_id=221"
"96","adaks","1","","Belanda","antelop berbulu warna terang, hidup di Afrika Utara, Arab, d","223","adaks","skor makna 0.667 → entri_id=223"
"97","adaktil","1","","Yunani","tidak mempunyai jari tangan atau jari kaki (adactylous)","225","adaktil","skor makna 0.600 → entri_id=225"
"98","adalah","1","","Arab","identik dengan","226","adalah","skor makna 0.222 → entri_id=226"
"99","adalat","1","","Arab","kebajikan; keadilan (justice)","227","adalat","skor makna 0.667 → entri_id=227"
"104","adaptabel","1","","Inggris","dapat menyesuaikan atau disesuaikan dengan kondisi dan keper","238","adaptabel","skor makna 0.692 → entri_id=238"
"105","adaptabilitas","1","","Inggris","kemampuan beradaptasi (adaptability)","239","adaptabilitas","skor makna 0.400 → entri_id=239"
"106","adaptasi","1","","Belanda","penyesuaian terhadap lingkungan, pekerjaan, dan pelajaran (a","240","adaptasi","skor makna 0.600 → entri_id=240"
"107","adaptif","1","","Belanda","mudah menyesuaikan (diri) dengan keadaan (adaptive)","241","adaptif","skor makna 0.833 → entri_id=241"
"108","adaptometer","1","","Inggris","alat untuk mengukur penyesuaian indra (adaptometer)","243","adaptometer","skor makna 0.833 → entri_id=243"
"109","adaptor","1","","Inggris","alat untuk menghubungkan dua bagian benda, misalnya yang ber","244","adaptor","skor makna 0.200 → entri_id=244"
"110","adas","1","","Persia","tumbuhan bergetah yang tingginya kira-kira 1,5 m, bijinya di","249","adas","skor makna 0.909 → entri_id=249"
"111","adas","2","","Arab","tumbuhan bergetah yang tingginya kira-kira 1,5 m, bijinya di","249","adas","skor makna 0.909 → entri_id=249"
"113","adati","1","","Persia","bersifat adat; tradisional (customary)","252","adati","skor makna 0.750 → entri_id=252"
"114","adekuat","1","","Belanda","memenuhi syarat; memadai; sama harkatnya (adequate)","257","adekuat","skor makna 0.556 → entri_id=257"
"115","adempauze","1","","Belanda","kesempatan untuk beristirahat (breathing space)","261","adempauze","skor makna 0.600 → entri_id=261"
"116","adendum","1","","Latin","jilid tambahan (pada buku); lampiran (addendum)","263","adendum","skor makna 0.417 → entri_id=263"
"117","adenoid","1","","Belanda","pertumbuhan mirip kelenjar pada tenggorok dan bagian belakan","266","adenoid","skor makna 0.692 → entri_id=266"
"118","adenoma","1","","Belanda","jaringan kelenjar (adenoma)","267","adenoma","skor makna 0.400 → entri_id=267"
"119","adenosis","1","","Inggris","penyakit kelenjar, terutama menyerang kelenjar getah bening ","268","adenosis","skor makna 0.667 → entri_id=268"
"120","adhesi","1","","Belanda","keadaan melekat pada benda lain (adhesion)","272","adhesi","skor makna 0.143 → entri_id=272"
"121","adhesif","1","","Inggris","bersifat melekat (adhesive)","273","adhesif","skor makna 0.400 → entri_id=273"
"122","adiabatik","1","","Inggris","mengacu pada setiap perubahan yang terjadi dalam suatu siste","276","adiabatik","skor makna 0.833 → entri_id=276"
"123","adiaktinik","1","","Inggris","kedap terhadap cahaya ultraviolet dan cahaya yang tampak (ad","279","adiaktinik","skor makna 0.700 → entri_id=279"
"124","adib","1","","Arab","beradab; tahu tata krama; sopan (well bred)","281","adib","skor makna 0.500 → entri_id=281"
"125","adibangkit","1","","","tanda isyarat untuk membangunkan pasukan (prajurit dsb.) (mo","282","adibangkit","skor makna 0.467 → entri_id=282"
"126","adibintang","1","","","bintang lapangan; pemain andalan yang berbakat (superstar)","284","adibintang","skor makna 0.462 → entri_id=284"
"127","adibusana","1","","","busana ekslusif untuk wanita yang dirancang oleh perancang t","286","adibusana","skor makna 0.643 → entri_id=286"
"128","adicita","1","","","ideologi (ideology)","287","adicita","skor makna 0.167 → entri_id=287"
"129","adidaya","1","","","adikuasa (superpower)","288","adidaya","skor makna 0.167 → entri_id=288"
"130","adiguna","1","","Sanskerta","bersifat menonjolkan kepandaian (clever)","290","adiguna","skor makna 0.750 → entri_id=290"
"131","adikara","1","","Sanskerta","berkuasa (having authority, majestic)","297","adikara","skor makna 0.125 → entri_id=297"
"132","adikarya","1","","","karya yang dihasilkan dengan kemampuan yang luar biasa; kary","298","adikarya","skor makna 0.667 → entri_id=298"
"133","adikodrati","1","","","melebihi atau di luar kodrat alam; supernatural (supernatura","300","adikodrati","skor makna 0.545 → entri_id=300"
"134","adiksi","1","","Latin","kecanduan atau ketergantungan secara fisik dan mental terhad","302","adiksi","skor makna 0.714 → entri_id=302"
"135","adiktif","1","","Inggris","bersifat kecanduan (addictive)","303","adiktif","skor makna 0.286 → entri_id=303"
"138","adikuasa","1","","","berkekuatan amat besar atau luar biasa (tentang negara, bang","304","adikuasa","skor makna 0.643 → entri_id=304"
"139","adil","1","","Arab","sama berat; tidak berat sebelah; tidak memihak (just)","305","adil","skor makna 0.313 → entri_id=305"
"140","adiluhung","1","","Jawa","tinggi mutunya (sublime, excellent)","306","adiluhung","skor makna 0.500 → entri_id=306"
"141","adimarga","1","","","jalan raya yang lebar, biasanya dengan deretan pohon di kiri","308","adimarga","skor makna 0.688 → entri_id=308"
"142","ad interim","1","","Latin","untuk sementara waktu (for the meantime)","213","ad interim","skor makna 0.500 → entri_id=213"
"143","adipati","1","","Sanskerta","gelar raja muda atau wakil raja (di Jawa Tengah gelar bagi P","313","adipati","skor makna 0.545 → entri_id=313"
"144","adipenghantar","1","","","bahan yang di bawah suhu peralihan rendah memperlihatkan sif","314","adipenghantar","skor makna 0.714 → entri_id=314"
"145","adiposa","1","","Inggris","penimbunan lemak yang berlebihan dalam tubuh (adipose)","315","adiposa","skor makna 0.667 → entri_id=315"
"146","adipositas","1","","Inggris","perihal lemak; kegemukan (adiposity)","317","adipositas","skor makna 0.500 → entri_id=317"
"147","adipura","1","","","kota yang tebersih dan terindah (the cleanest (etc.) city (c","319","adipura","skor makna 0.333 → entri_id=319"
"148","adiraja","1","","Sanskerta","gelar raja yang tertinggi (royal by descent)","321","adiraja","skor makna 0.667 → entri_id=321"
"149","adiratna","1","","","permata yang mulia (jewel, beautiful woman)","322","adiratna","skor makna 0.250 → entri_id=322"
"150","adisi","1","","Belanda","penambahan yang dilakukan secara terus-menerus (addition)","324","adisi","skor makna 0.300 → entri_id=324"
"151","adisional","1","","Inggris","sebagai tambahan; ekstra (additional)","325","adisional","skor makna 0.750 → entri_id=325"
"152","adisiswa","1","","","pelajar yang paling bermutu (pandai, terkenal, menarik perha","326","adisiswa","skor makna 0.563 → entri_id=326"
"153","aditif","1","","Belanda","berkenaan atau dihasilkan dengan penambahan (additive)","328","aditif","skor makna 0.217 → entri_id=328"
"154","aditokoh","1","","","tokoh utama (very prominent figure)","329","aditokoh","skor makna 0.133 → entri_id=329"
"155","adiwangsa","1","","Sanskerta","bangsa utama (mulia) (of high nobility)","330","adiwangsa","skor makna 0.600 → entri_id=330"
"156","adiwarna","1","","","indah sekali; bagus sekali (glowing with colour)","331","adiwarna","skor makna 0.300 → entri_id=331"
"157","adiwidia","1","","","pengetahuan yang paling tinggi (distinguished scholarship)","332","adiwidia","skor makna 0.400 → entri_id=332"
"158","adjektif","1","","Belanda","","333","adjektif","skor rendah (0.000) — review manual"
"159","adjektiva","1","","Belanda","kata yang menerangkan nomina (kata benda) dan secara umum da","334","adjektiva","skor makna 0.722 → entri_id=334"
"160","adjektival","1","","Inggris","berfungsi sebagai adjektiva, tetapi tidak dapat berinfleksi ","335","adjektival","skor makna 0.600 → entri_id=335"
"161","administrasi","1","","Belanda","usaha dan kegiatan yang meliputi penetapan tujuan serta pene","339","administrasi","skor makna 0.500 → entri_id=339"
"162","administratif","1","","Belanda","secara administrasi; bersangkut-paut (berkaitan) dengan admi","340","administratif","skor makna 0.600 → entri_id=340"
"163","administrator","1","","Inggris","direktur perusahaan (administrator)","341","administrator","skor makna 0.083 → entri_id=341"
"164","admiral","1","","Belanda","jenjang kepangkatan pada angkatan laut; laksamana (admiral)","342","admiral","skor makna 0.600 → entri_id=342"
"165","admisi","1","","Belanda","izin masuk (admission)","343","admisi","skor makna 0.333 → entri_id=343"
"166","admitans","1","","Inggris","ukuran kemudahan arus bolak-balik (rangga) untuk mengalir da","344","admitans","skor makna 0.950 → entri_id=344"
"167","adnan","1","","Arab","surga; firdaus (paradise)","345","adnan","skor makna 0.667 → entri_id=345"
"168","adolesens","1","","Inggris","masa remaja (adolescence)","349","adolesens","skor makna 0.400 → entri_id=349"
"169","adopsi","1","","Belanda","pengangkatan anak orang lain sebagai anak sendiri (adoption)","351","adopsi","skor makna 0.300 → entri_id=351"
"170","adoptif","1","","Belanda","mengenai penyerahan suatu urusan dilakukan dengan undang-und","352","adoptif","skor makna 0.952 → entri_id=352"
"171","adpertensi","1","","Belanda","","354","adpertensi","skor rendah (0.000) — review manual"
"172","adpis","1","","Belanda","","355","adpis","skor rendah (0.000) — review manual"
"173","adrenal","1","","Inggris","kelenjar endokrin di atas ginjal yang menghasilkan hormon (a","356","adrenal","skor makna 0.700 → entri_id=356"
"174","adrenalin","1","","Belanda","hormon yang dihasilkan drekstrak kelenjar suprarenal atau ke","358","adrenalin","skor makna 0.290 → entri_id=358"
"175","adrenergik","1","","Inggris","diaktifkan atau disekresi oleh adrenalina atau zat yang seru","359","adrenergik","skor makna 0.889 → entri_id=359"
"176","adres","1","","Belanda","alamat (surat) (address)","360","adres","skor makna 0.333 → entri_id=360"
"177","adsorben","1","","Belanda","zat yang dapat menyerap zat lain, artinya menyerap zat lain ","362","adsorben","skor makna 0.750 → entri_id=362"
"178","adsorpsi","1","","Belanda","proses atau kemampuan suatu bahan untuk memegang atau mengon","363","adsorpsi","skor makna 0.810 → entri_id=363"
"179","adstringen","1","","Inggris","(-) (astringent)","364","adstringen","skor rendah (0.000) — review manual"
"180","aduktor","1","","Inggris","otot yang berfungsi menggerakkan anggota tubuh ke arah tubuh","373","aduktor","skor makna 0.700 → entri_id=373"
"181","adveksi","1","","Latin","gerakan massa udara secara horizontal yang mengakibatkan per","377","adveksi","skor makna 0.750 → entri_id=377"
"182","adven","1","","Belanda","kedatangan Kristus dalam inkarnasinya (kedatangannya yang ke","378","adven","skor makna 0.233 → entri_id=378"
"183","adventisia","1","","Inggris","lapisan terluar dinding pembuluh darah yang terdiri atas jar","380","adventisia","skor makna 0.769 → entri_id=380"
"184","adventisius","1","","Inggris","timbul atau terjadi secara sporadis atau dalam tempat yang t","381","adventisius","skor makna 0.769 → entri_id=381"
"185","adverbia","1","","Latin","kata yang memberikan keterangan pada verba, adjektiva, nomin","382","adverbia","skor makna 0.938 → entri_id=382"
"186","adverbial","1","","Belanda","berfungsi sebagai adverbia, tetapi tidak berinfleksi seperti","383","adverbial","skor makna 0.692 → entri_id=383"
"187","advertensi","1","","Belanda","iklan dalam media massa cetak atau elektronik, antara lain, ","384","advertensi","skor makna 0.750 → entri_id=384"
"188","advertorial","1","","Inggris","iklan yang berupa berita (bukan gambar atau poster); pariwar","385","advertorial","skor makna 0.750 → entri_id=385"
"189","advis","1","","Belanda","nasihat (advice)","386","advis","skor makna 0.200 → entri_id=386"
"191","Aeolus","1","","Latin","dewa angin dalam mitologi Yunani (mythical god of the winds)","391","Aeolus","skor makna 0.556 → entri_id=391"
"192","aerasi","1","","Belanda","penambahan oksigen ke dalam air dengan memancarkan air atau ","392","aerasi","skor makna 0.714 → entri_id=392"
"193","aerator","1","","Inggris","alat bertenaga listrik yang berfungsi menambahkan udara ke d","393","aerator","skor makna 0.850 → entri_id=393"
"194","aerob","1","","Inggris","sifat makhluk yang untuk hidup dan pertumbuhannya memerlukan","395","aerob","skor makna 0.455 → entri_id=395"
"195","aerobatik","1","","Inggris","ketangkasan atau kecakapan berakrobat di udara (aerobatics)","396","aerobatik","skor makna 0.625 → entri_id=396"
"196","aerobik","1","","Inggris","bersifat memerlukan oksigen bagi kehidupan, gerak, dan pertu","397","aerobik","skor makna 0.727 → entri_id=397"
"197","aerobika","1","","Yunani","sistem pemeliharaan jasmani yang dirancang untuk meningkatka","398","aerobika","skor makna 0.759 → entri_id=398"
"198","aerodinamika","1","","Belanda","ilmu yang berhubungan dengan gerakan udara, gas lain, atau k","401","aerodinamika","skor makna 0.833 → entri_id=401"
"199","aerofisika","1","","Yunani","cabang fisika yang berhubungan dengan perancangan, pembuatan","404","aerofisika","skor makna 0.733 → entri_id=404"
"200","aerofisiologi","1","","Inggris","ilmu tentang kesehatan tubuh ketika berada dalam penerbangan","405","aerofisiologi","skor makna 0.786 → entri_id=405"
"201","aerofon","1","","Belanda","alat musik yang menggunakan udara sebagai sarana untuk mengh","406","aerofon","skor makna 0.765 → entri_id=406"
"137","aerogram","1","","Inggris","warkat pos khusus untuk pengiriman dengan pos udara (aerogra","407","aerogram","skor makna 0.700 → entri_id=407"
"202","aerolit","1","","Yunani","meteorit yang terutama terdiri atas mineral silikat (aerolit","409","aerolit","skor makna 0.500 → entri_id=409"
"203","aerologi","1","","Belanda","meteorologi (aerology)","410","aerologi","skor makna 0.056 → entri_id=410"
"204","aerometer","1","","Inggris","alat untuk mengukur bobot atau kerapatan udara atau gas lain","411","aerometer","skor makna 0.900 → entri_id=411"
"205","aeronautika","1","","Yunani","ilmu penerbangan (aeronautics)","415","aeronautika","skor makna 0.250 → entri_id=415"
"206","aeroplankton","1","","Belanda","makhluk, plankton, zarah hidup seperti spora, bakteri, dan s","417","aeroplankton","skor makna 0.762 → entri_id=417"
"207","aeroskop","1","","Belanda","alat untuk menangkap debu, bakteri, spora, dsb. dari udara u","420","aeroskop","skor makna 0.765 → entri_id=420"
"208","aerosol","1","","Belanda","sistem tersebarnya partikel halus zat padat atau cairan dala","421","aerosol","skor makna 0.800 → entri_id=421"
"209","aerostat","1","","Belanda","kendara terbang yang lebih ringan daripada udara, misalnya b","422","aerostat","skor makna 0.692 → entri_id=422"
"210","aerostatika","1","","Belanda","ilmu tentang gas dalam keadaan seimbang mekanis (aerostatics","423","aerostatika","skor makna 0.636 → entri_id=423"
"211","aestetika","1","","Belanda","","429","aestetika","skor rendah (0.000) — review manual"
"212","afair","1","","Belanda","hubungan asmara yang berlangsung singkat (tidak dilanjutkan ","431","afair","skor makna 0.529 → entri_id=431"
"213","afal","1","","Arab","kelakuan; perbuatan; tingkah laku (works, behaviour)","432","afal","skor makna 0.667 → entri_id=432"
"214","afal","2","","Arab","kelakuan; perbuatan; tingkah laku","432","afal","skor makna 1.000 → entri_id=432"
"215","afasia","1","","Inggris","kehilangan sebagian atau seluruh kemampuan bicara karena pen","436","afasia","skor makna 0.800 → entri_id=436"
"216","afdal","1","","Arab","lebih baik; lebih utama (good, excellent)","437","afdal","skor makna 0.429 → entri_id=437"
"217","afdeling","1","","Belanda","seksi; bagian; divisi (section, division)","438","afdeling","skor makna 0.600 → entri_id=438"
"218","afdruk","1","","Belanda","hasil mencetak film (copy, offprint)","439","afdruk","skor makna 0.600 → entri_id=439"
"219","afek","1","","Belanda","perubahan perasaan karena tanggapan dalam kesadaran seseoran","440","afek","skor makna 0.818 → entri_id=440"
"220","afeksi","1","","Belanda","rasa kasih sayang (affection)","441","afeksi","skor makna 0.250 → entri_id=441"
"221","afektif","1","","Belanda","berkenaan dengan perasaan (seperti takut, cinta) (to do with","442","afektif","skor makna 0.222 → entri_id=442"
"222","aferesis","1","","Belanda","penanggalan huruf awal atau suku awal kata (misalnya *tirta ","444","aferesis","skor makna 0.778 → entri_id=444"
"223","afiat","1","","Arab","sehat (good health)","445","afiat","skor makna 0.333 → entri_id=445"
"224","afiks","1","","Belanda","bentuk terikat yang apabila ditambahkan pada kata dasar atau","450","afiks","skor makna 0.857 → entri_id=450"
"225","afiksasi","1","","Inggris","pengafiksan (affixation)","451","afiksasi","skor makna 0.250 → entri_id=451"
"226","afiliasi","1","","Belanda","pertalian sebagai anggota atau cabang; perhubungan (affiliat","452","afiliasi","skor makna 0.171 → entri_id=452"
"227","afinitas","1","","Belanda","ketertarikan atau simpati yang ditandai oleh persamaan kepen","453","afinitas","skor makna 0.348 → entri_id=453"
"228","afirmasi","1","","Inggris","penetapan yang positif; penegasan; peneguhan (affirmation)","454","afirmasi","skor makna 0.238 → entri_id=454"
"229","afirmatif","1","","Inggris","bersifat menguatkan atau mengesahkan (affirmative)","455","afirmatif","skor makna 0.571 → entri_id=455"
"230","afkir","1","","Belanda","","457","afkir","skor rendah (0.000) — review manual"
"231","aforisme","1","","Belanda","pernyataan yang padat dan ringkas tentang sikap hidup atau k","460","aforisme","skor makna 0.765 → entri_id=460"
"232","afotik","1","","Inggris","tanpa sinar (misalnya daerah laut yang dalam atau gua) (apho","461","afotik","skor makna 0.750 → entri_id=461"
"233","afrasia","1","","Inggris","ketidakmampuan untuk mengungkapkan atau memakai ujaran yang ","463","afrasia","skor makna 0.733 → entri_id=463"
"234","afrikat","1","","Belanda","gabungan bunyi hambat dan frikatif; bunyi hambat dengan pele","464","afrikat","skor makna 0.733 → entri_id=464"
"235","Afrit","1","","Belanda","setan atau jin yang melakukan pekerjaan dengan tipu daya dan","465","Afrit","skor makna 0.929 → entri_id=465"
"236","Afrit","2","","Arab","setan atau jin yang melakukan pekerjaan dengan tipu daya dan","465","Afrit","skor makna 0.867 → entri_id=465"
"237","afrodisiak","1","","Inggris","zat kimia yang digunakan untuk merangsang daya seksual, sepe","466","afrodisiak","skor makna 0.625 → entri_id=466"
"238","afsun","1","","Persia","pesona","467","afsun","skor makna 1.000 → entri_id=467"
"239","aftab","1","","Persia","matahari (the sun)","468","aftab","skor makna 0.333 → entri_id=468"
"240","afuah","1","","Arab","","470","afuah","skor rendah (0.000) — review manual"
